iter	RMSE
0	0.9695725033
1	0.9406415629
2	0.9154848899
3	0.8912154974
4	0.8691140231
5	0.8476153034
6	0.8273637889
7	0.8108205142
8	0.7950360086
9	0.7802266939
10	0.7658917546
11	0.7539052471
12	0.7428309767
13	0.7320449381
14	0.7220247681
15	0.7126272943
16	0.7046657266
17	0.6969220342
18	0.6903004785
19	0.6839477439
20	0.6772621413
21	0.6719843083
22	0.6664311993
23	0.6619196519
24	0.6581269566
25	0.6547326694
26	0.6512496643
27	0.6475349984
28	0.6448128588
29	0.6420811528
30	0.6393865961
31	0.636402218
32	0.6340790897
33	0.632062264
34	0.6302941169
35	0.6281057364
36	0.6263657261
37	0.6244245536
38	0.6227951575
39	0.6212580707
40	0.6197720713
41	0.6181360639
42	0.6166756543
43	0.615338482
44	0.6138887144
45	0.6127794182
46	0.6115861721
47	0.6107752276
48	0.6094496273
49	0.6085672672
50	0.6076525384
51	0.6069144821
52	0.6061564824
53	0.6053837132
54	0.6045430346
55	0.603752809
56	0.6029275915
57	0.6021295247
58	0.6013569678
59	0.600704733
60	0.6000199865
61	0.599455255
62	0.5985160982
63	0.5980229311
64	0.5976440583
65	0.5972147759
66	0.596566021
67	0.5960759656
68	0.5957211947
69	0.5951409781
70	0.5947290637
71	0.5945141848
72	0.5938868843
73	0.5932786118
74	0.5927888471
75	0.5922297575
76	0.5918435957
77	0.5915422496
78	0.591167685
79	0.5907081059
80	0.590220351
81	0.5898202862
82	0.5892388679
83	0.5887716636
84	0.588441109
85	0.588138061
86	0.5876487573
87	0.5871917534
88	0.5868274794
89	0.5864251581
90	0.5860204467
91	0.5857644844
92	0.5852631899
93	0.5848403201
94	0.5843850916
95	0.5840627347
96	0.5836997435
97	0.5834852126
98	0.5833019496
99	0.5829047423
100	0.5822566968
101	0.5818817039
102	0.5812132851
103	0.5807927527
104	0.5804188344
105	0.5797014375
106	0.5794090653
107	0.578938203
108	0.5785746038
109	0.5780543467
110	0.5777919438
111	0.5773754622
112	0.5771097691
113	0.5770341088
114	0.5767065567
115	0.5761054826
116	0.5758922366
117	0.5755179719
118	0.5752319613
119	0.5749231332
120	0.5746903735
121	0.5744266623
122	0.5741734592
123	0.5740385433
124	0.5738803625
125	0.5735653566
126	0.5732266952
127	0.5730343802
128	0.5725700064
129	0.5723992561
130	0.5720964583
131	0.5718939564
132	0.5716378759
133	0.5713635007
134	0.5710497439
135	0.5705183922
136	0.5701899558
137	0.5699397247
138	0.5695017258
139	0.5693585533
140	0.5691051199
141	0.5690404926
142	0.568839943
143	0.568742915
144	0.5683334095
145	0.5679533714
146	0.5675880453
147	0.5673872559
148	0.5668226023
149	0.5666301119
150	0.5663146146
151	0.5660003011
152	0.5656312838
153	0.5652864997
154	0.5647260011
155	0.5644382694
156	0.5638606974
157	0.5636712599
158	0.5633971306
159	0.5631166099
160	0.5628292862
161	0.5626510171
162	0.5623745628
163	0.5622186643
164	0.5619243663
165	0.5615264517
166	0.561145445
167	0.5609749243
168	0.5606411569
169	0.5598166247
170	0.5594462526
171	0.5590385226
172	0.5586121007
173	0.5579419417
174	0.5575054536
175	0.5568447548
176	0.5565399603
177	0.5562313166
178	0.5559128474
179	0.5556445231
180	0.5551812369
181	0.5545418519
182	0.5541908852
183	0.5538143331
184	0.5535380236
185	0.5532989158
186	0.5530109581
187	0.5525800543
188	0.5523316843
189	0.5521237141
190	0.5518842523
191	0.5514112845
192	0.5511131216
193	0.5507982809
194	0.5504777793
195	0.5502765656
196	0.5498007868
197	0.549441646
198	0.5492168829
199	0.5489945251
200	0.5483854597
201	0.548284955
202	0.5481007759
203	0.547930609
204	0.5474490622
205	0.5472496078
206	0.5470519111
207	0.546939661
208	0.5467596378
209	0.5461231692
210	0.5458803381
211	0.5456985828
212	0.545268516
213	0.5446760046
214	0.544484804
215	0.5443144636
216	0.5442247044
217	0.5438238574
218	0.5437314197
219	0.5434819203
220	0.5432508637
221	0.5427886875
222	0.5425694491
223	0.5424383065
224	0.5421107305
225	0.541902948
226	0.5413703324
227	0.5411006992
228	0.5409258368
229	0.5404735972
230	0.5402379294
231	0.5400249921
232	0.5397060773
233	0.5395213021
234	0.5393858342
235	0.539279738
236	0.5390063172
237	0.5387619007
238	0.5383799899
239	0.5381448397
240	0.5379513457
241	0.5371385762
242	0.5367095841
243	0.5364924479
244	0.5359170601
245	0.5355380404
246	0.5353459041
247	0.535024181
248	0.5348557613
249	0.5344630552
250	0.5343214748
251	0.5341124962
252	0.5337055127
253	0.5334716842
254	0.5332568055
255	0.5331316773
256	0.5328703013
257	0.5325944643
258	0.5325174937
259	0.5322341708
260	0.5318858039
261	0.5317565867
262	0.5313602263
263	0.5311175778
264	0.5308758981
265	0.5306309513
266	0.5304454327
267	0.5299747499
268	0.5297726506
269	0.5296327182
270	0.5292491652
271	0.5289083602
272	0.5288035008
273	0.5285058019
274	0.5282132546
275	0.5280019243
276	0.5277815186
277	0.5277117666
278	0.5275307809
279	0.5271666391
280	0.5269196329
281	0.5262978694
282	0.5260083607
283	0.5257133732
284	0.5254060688
285	0.525146388
286	0.5250347324
287	0.5248910974
288	0.5245208716
289	0.5242546783
290	0.5240851536
291	0.5239384826
292	0.5235314487
293	0.5229935808
294	0.522846335
295	0.5224844391
296	0.5221471391
297	0.5218643601
298	0.5216794478
299	0.5213708243
300	0.5212186152
301	0.5209999566
302	0.5208621816
303	0.5207135313
304	0.5204202746
305	0.5202668452
306	0.5199246633
307	0.5195645455
308	0.519404928
309	0.5191770733
310	0.5189577358
311	0.5186741545
312	0.5184801305
313	0.5182601521
314	0.5180203526
315	0.5179366038
316	0.5174982067
317	0.517251731
318	0.5167769011
319	0.5165710977
320	0.5164521225
321	0.5161776964
322	0.5159950714
323	0.5155840273
324	0.5152561878
325	0.5149107645
326	0.514730808
327	0.5146075951
328	0.5144793954
329	0.514124339
330	0.5140440342
331	0.5138496216
332	0.5137297213
333	0.5135145569
334	0.5132251209
335	0.5127619413
336	0.512483402
337	0.5121796696
338	0.5119894241
339	0.5116751506
340	0.5115527261
341	0.5114246178
342	0.511341217
343	0.5110692615
344	0.5107251118
345	0.5105694138
346	0.5101910414
347	0.5098890168
348	0.5097591045
349	0.5094624811
350	0.5091217512
351	0.5088287339
352	0.5084686818
353	0.5081144229
354	0.5078425531
355	0.5076427716
356	0.5074187781
357	0.5073021864
358	0.5070425174
359	0.5068390988
360	0.5065157638
361	0.5061837535
362	0.5058965053
363	0.5057696977
364	0.5056451976
365	0.5053827172
366	0.5052423977
367	0.5049625285
368	0.5046835114
369	0.5045190063
370	0.5044089563
371	0.5042275333
372	0.503876602
373	0.5034027114
374	0.503251835
375	0.5031197467
376	0.5028968011
377	0.5026217278
378	0.5024025234
379	0.5022050117
380	0.5019050132
381	0.501688841
382	0.5013371742
383	0.501210239
384	0.5009553702
385	0.5006951032
386	0.5004450946
387	0.500213409
388	0.5001579576
389	0.4999216614
390	0.4997334287
391	0.4994914777
392	0.4992057652
393	0.4989172791
394	0.4987010032
395	0.4982666457
396	0.4978393788
397	0.4974348987
398	0.4971790591
399	0.4971280391
400	0.4969275078
401	0.4967018767
402	0.4965680235
403	0.4961274001
404	0.4957599518
405	0.4955850887
406	0.4954068351
407	0.4952106564
408	0.4950330076
409	0.4947678383
410	0.494635107
411	0.4946258171
412	0.4944850312
413	0.4943601277
414	0.4939370647
415	0.4936843191
416	0.4935690353
417	0.4933877089
418	0.493256076
419	0.4930141409
420	0.4928702821
421	0.4927593942
422	0.4923896487
423	0.4923291974
424	0.4921626263
425	0.4919705061
426	0.491799947
427	0.4915274647
428	0.4914223991
429	0.4911665459
430	0.4910676784
431	0.4908020432
432	0.4905560557
433	0.4904060135
434	0.4901149601
435	0.489847522
436	0.4896245972
437	0.4893127278
438	0.4890296261
439	0.4887084613
440	0.4885894043
441	0.4884242781
442	0.4882983616
443	0.4882000729
444	0.4880292307
445	0.487867531
446	0.4877834694
447	0.4874312144
448	0.487151595
449	0.4868198349
450	0.4866921224
451	0.486476462
452	0.4861679547
453	0.4859997502
454	0.4858531943
455	0.4857209953
456	0.4855882568
457	0.4854153284
458	0.4850143246
459	0.4847751213
460	0.4846325124
461	0.4843393448
462	0.484094363
463	0.4839293107
464	0.4836542063
465	0.4835452283
466	0.4831443692
467	0.4830380269
468	0.4828794428
469	0.4827461146
470	0.482645204
471	0.482367291
472	0.4819353596
473	0.4817109246
474	0.4815600497
475	0.4812502028
476	0.4810227522
477	0.4809380776
478	0.4807394003
479	0.4805120263
480	0.4801556467
481	0.4799652915
482	0.4797023373
483	0.4793536891
484	0.4791319727
485	0.4789814207
486	0.4787257511
487	0.4785328604
488	0.4782979706
489	0.4779684634
490	0.4778686049
491	0.477690384
492	0.4775733369
493	0.4774201934
494	0.4773325983
495	0.4770134226
496	0.4768120037
497	0.4765288668
498	0.4763933651
499	0.4762341393
500	0.4761631255
501	0.4760481302
502	0.475863989
503	0.4757795767
504	0.4755344812
505	0.4753523634
506	0.4753029327
507	0.4750736341
508	0.4747895473
509	0.4745807666
510	0.4743756128
511	0.4740949584
512	0.4737827514
513	0.4735975262
514	0.4734236026
515	0.4731787322
516	0.4730186474
517	0.4728731761
518	0.4725786283
519	0.4724809919
520	0.4723337202
521	0.4721476664
522	0.4718984897
523	0.4717198799
524	0.4713355149
525	0.471166849
526	0.4709891905
527	0.4706280748
528	0.4702592785
529	0.4701400169
530	0.4700754413
531	0.4699531616
532	0.4697278652
533	0.4695973187
534	0.4694784939
535	0.4693901215
536	0.4689169933
537	0.4688010673
538	0.468613637
539	0.4684864535
540	0.468210869
541	0.4680700074
542	0.4678148145
543	0.4676304549
544	0.4674778262
545	0.4671372185
546	0.4670617962
547	0.4668529675
548	0.4666958248
549	0.4665219591
550	0.4662690393
551	0.46612997
552	0.4659814365
553	0.4658634236
554	0.465532678
555	0.4654723704
556	0.4652193886
557	0.4649941341
558	0.4648160781
559	0.4644362013
560	0.4641525448
561	0.4640966046
562	0.4638150043
563	0.4636494346
564	0.4633547476
565	0.4631877055
566	0.4628548212
567	0.4626500132
568	0.4625388347
569	0.4623155867
570	0.4620680088
571	0.4619687984
572	0.4615646484
573	0.4614526787
574	0.4611953335
575	0.4610661192
576	0.4608139784
577	0.4605147031
578	0.460392508
579	0.4602893704
580	0.460247601
581	0.4601709873
582	0.4600029082
583	0.4597803616
584	0.4596772775
585	0.4595686809
586	0.4594201735
587	0.4592530928
588	0.4591082536
589	0.4588427923
590	0.4586484724
591	0.4584658764
592	0.4583599955
593	0.4582431303
594	0.4581049116
595	0.4579710335
596	0.4577482481
597	0.4575444794
598	0.4574483156
599	0.4571973316
600	0.4570386584
601	0.4567484368
602	0.4566082847
603	0.456376076
604	0.4561491065
605	0.4560925902
606	0.4559519746
607	0.4557049409
608	0.4553850139
609	0.4552857367
610	0.4551257963
611	0.4550766434
612	0.4548465039
613	0.4545303135
614	0.4542935683
615	0.4542048862
616	0.4540021026
617	0.4539422678
618	0.45383615
619	0.4536218642
620	0.4534496277
621	0.4534075348
622	0.4533165898
623	0.4529637893
624	0.4528150067
625	0.4525903439
626	0.4523514438
627	0.4522526922
628	0.4521084977
629	0.4519565046
630	0.4518337277
631	0.4515845634
632	0.451292294
633	0.4511638954
634	0.4509036797
635	0.450823257
636	0.4507315982
637	0.4506333575
638	0.4505736275
639	0.4503514127
640	0.4501835948
641	0.4498797322
642	0.4498268901
643	0.4495813274
644	0.4493699353
645	0.4493011566
646	0.4492103783
647	0.4491446784
648	0.4489863423
649	0.4487522472
650	0.4485081611
651	0.4483076058
652	0.4482120516
653	0.4479988271
654	0.447756994
655	0.4474873086
656	0.4473292409
657	0.4472188374
658	0.4469608356
659	0.4469350289
660	0.4467400144
661	0.4465386404
662	0.446421581
663	0.4463481639
664	0.4461780015
665	0.4460917301
666	0.4459443521
667	0.4458078012
668	0.4457328071
669	0.445586082
670	0.4453786678
671	0.4453067291
672	0.4451099742
673	0.444998033
674	0.444920116
675	0.4448184666
676	0.4446536319
677	0.4445054463
678	0.4442661529
679	0.4441627693
680	0.4439849476
681	0.4438108654
682	0.4436509206
683	0.4434189278
684	0.4431567024
685	0.4428960548
686	0.442780044
687	0.4426284917
688	0.4425407134
689	0.4422900027
690	0.4420129661
691	0.441790997
692	0.4416557406
693	0.4414395913
694	0.4413406604
695	0.4411828934
696	0.441057556
697	0.4408115741
698	0.4407259165
699	0.4406327175
700	0.4403607401
701	0.4401334082
702	0.4400142914
703	0.4398945514
704	0.4398246999
705	0.4396199286
706	0.4393877932
707	0.4393526637
708	0.4391833522
709	0.4389883868
710	0.4388910743
711	0.4386215689
712	0.438485388
713	0.4383205788
714	0.4380931177
715	0.4379505143
716	0.4377151554
717	0.4375475851
718	0.4374453417
719	0.4373031699
720	0.4371628439
721	0.4369487225
722	0.4368102585
723	0.4367014034
724	0.4365806573
725	0.4364855485
726	0.4363290491
727	0.4361349822
728	0.4360363943
729	0.4360073767
730	0.4358480696
731	0.435672149
732	0.4353754503
733	0.4352205947
734	0.4350880948
735	0.434902361
736	0.4347693174
737	0.434543755
738	0.4343612514
739	0.4341122742
740	0.4338645557
741	0.4336432544
742	0.4335053031
743	0.4333296769
744	0.4331870872
745	0.433068479
746	0.432868373
747	0.4327651045
748	0.4324956139
749	0.4324314592
750	0.4321661746
751	0.4319266913
752	0.4317315726
753	0.4316153775
754	0.4314552097
755	0.4314187408
756	0.4312693019
757	0.4311772236
758	0.4309756381
759	0.4308954406
760	0.4307888557
761	0.4305788561
762	0.4303648669
763	0.4301409748
764	0.4300803539
765	0.4299696173
766	0.4298141074
767	0.4296290908
768	0.4295024271
769	0.429419144
770	0.4292513773
771	0.429188594
772	0.4290521341
773	0.4288952076
774	0.4287243958
775	0.4287047935
776	0.4284617614
777	0.4284038943
778	0.4281920342
779	0.4280962833
780	0.427879902
781	0.4276545156
782	0.4275276988
783	0.427471318
784	0.4272301026
785	0.4271448122
786	0.4270021788
787	0.4267812534
788	0.4265719361
789	0.4263701676
790	0.4261349746
791	0.4260322109
792	0.4259532653
793	0.4258496505
794	0.4257027389
795	0.4256507249
796	0.4254940923
797	0.4253622945
798	0.4252542269
799	0.4251498592
800	0.4250332608
801	0.4249684103
802	0.4246888524
803	0.4245179174
804	0.4243836984
805	0.4243351421
806	0.4240585221
807	0.4238863802
808	0.42375084
809	0.4236306409
810	0.4234765017
811	0.4232905839
812	0.423118305
813	0.42310712
814	0.422908606
815	0.4226066367
816	0.4224315471
817	0.4222967181
818	0.4221549758
819	0.4221190814
820	0.4221019716
821	0.4219469152
822	0.4217591065
823	0.4215789797
824	0.4214629799
825	0.4213589865
826	0.4211775406
827	0.4210657525
828	0.4210199956
829	0.4208132426
830	0.4206308104
831	0.4205337127
832	0.4203769087
833	0.4201748831
834	0.4200766932
835	0.419929035
836	0.4198420345
837	0.4197329529
838	0.4195616751
839	0.4193807553
840	0.4191899496
841	0.419141511
842	0.4190229332
843	0.4187727399
844	0.418595666
845	0.4185230849
846	0.4183241261
847	0.4181498773
848	0.4180711738
849	0.4178916612
850	0.4177668203
851	0.4176423392
852	0.417467758
853	0.4173528521
854	0.4172014937
855	0.4169619092
856	0.4168562011
857	0.4167041568
858	0.4165196593
859	0.4163361873
860	0.4160482141
861	0.4159221521
862	0.4158282022
863	0.4156263915
864	0.4155068316
865	0.4154169884
866	0.4152297134
867	0.4149669659
868	0.4148099169
869	0.4147707008
870	0.4145730648
871	0.414515262
872	0.4144944135
873	0.4144058161
874	0.4143344892
875	0.4141258824
876	0.414020536
877	0.4138631512
878	0.4137185718
879	0.4135455994
880	0.4135005361
881	0.4134213406
882	0.4132147592
883	0.413075208
884	0.4129826285
885	0.4128392297
886	0.4126928702
887	0.4124616036
888	0.4123557886
889	0.4121295699
890	0.4120598934
891	0.4118973877
892	0.4117797761
893	0.4116687414
894	0.4115445307
895	0.4114826046
896	0.4113822862
897	0.4111944924
898	0.4111103562
899	0.4109249337
900	0.4108528206
901	0.4108175376
902	0.4106158878
903	0.4105110176
904	0.4103858973
905	0.4102623634
906	0.410153437
907	0.4100230248
908	0.4099565011
909	0.4099137942
910	0.4097201604
911	0.4096341711
912	0.4095052048
913	0.4093402674
914	0.4092997095
915	0.4092679803
916	0.4091612813
917	0.409076326
918	0.4088954561
919	0.408826429
920	0.4086015192
921	0.4085098095
922	0.4082900661
923	0.408209487
924	0.4080762342
925	0.407944828
926	0.4076891318
927	0.4075441597
928	0.4074704705
929	0.4073875134
930	0.4073029025
931	0.407179791
932	0.4070780349
933	0.4069402456
934	0.406761629
935	0.406658225
936	0.4065339242
937	0.4064013706
938	0.4062001107
939	0.4061818612
940	0.4061108326
941	0.4061025863
942	0.4059440736
943	0.405778186
944	0.4057210927
945	0.4055967115
946	0.4055586331
947	0.4055115322
948	0.4053967433
949	0.4053485299
950	0.4051846687
951	0.4050788001
952	0.4050133127
953	0.4049140584
954	0.4047036056
955	0.4045454152
956	0.4043561576
957	0.4042981391
958	0.4041451471
959	0.4040949384
960	0.4038994934
961	0.4037732528
962	0.4035670158
963	0.4033740475
964	0.4033280743
965	0.4032849412
966	0.4031816569
967	0.4030806101
968	0.4030318352
969	0.4028220751
970	0.4026941572
971	0.4026155343
972	0.4025515214
973	0.4024808188
974	0.4023875956
975	0.4022844126
976	0.4022100501
977	0.4019901543
978	0.40182459
979	0.4017335817
980	0.4016359859
981	0.4016144727
982	0.4014234256
983	0.4012723777
984	0.4010963221
985	0.4009206433
986	0.4007360861
987	0.4006980374
988	0.4006209316
989	0.4005497902
990	0.4004603152
991	0.400367162
992	0.4002754299
993	0.4001821685
994	0.3999928802
995	0.3997851706
996	0.3997500864
997	0.3996163882
998	0.3995008506
999	0.3994643845
