iter	Passed	Remaining
0	67	67479
1	78	38925
2	84	28180
3	91	22805
4	99	19828
5	110	18324
6	116	16480
7	130	16129
8	135	14961
9	145	14440
10	153	13785
11	163	13470
12	169	12834
13	174	12255
14	179	11775
15	184	11370
16	191	11056
17	200	10960
18	205	10627
19	211	10373
20	217	10142
21	222	9890
22	228	9687
23	233	9476
24	237	9278
25	247	9287
26	252	9116
27	258	8964
28	265	8885
29	271	8783
30	277	8671
31	299	9046
32	305	8946
33	311	8839
34	327	9022
35	332	8901
36	338	8799
37	346	8761
38	351	8656
39	357	8583
40	363	8498
41	368	8408
42	376	8389
43	382	8315
44	387	8231
45	393	8164
46	399	8093
47	404	8021
48	414	8041
49	424	8064
50	429	8001
51	435	7942
52	440	7879
53	446	7824
54	452	7766
55	457	7708
56	462	7659
57	469	7619
58	474	7575
59	483	7569
60	488	7517
61	496	7508
62	501	7461
63	507	7422
64	516	7436
65	522	7389
66	527	7348
67	534	7324
68	544	7340
69	549	7302
70	558	7314
71	564	7273
72	570	7247
73	576	7210
74	584	7208
75	589	7167
76	594	7126
77	599	7091
78	604	7053
79	610	7026
80	616	6994
81	621	6960
82	626	6922
83	632	6897
84	637	6859
85	642	6829
86	650	6829
87	657	6816
88	663	6789
89	668	6763
90	674	6735
91	684	6755
92	690	6733
93	695	6708
94	702	6691
95	708	6667
96	717	6682
97	722	6652
98	727	6622
99	733	6602
100	738	6572
101	743	6547
102	748	6518
103	753	6493
104	758	6468
105	763	6439
106	777	6488
107	784	6481
108	790	6458
109	795	6433
110	803	6435
111	808	6407
112	813	6384
113	823	6400
114	828	6375
115	834	6362
116	840	6345
117	847	6331
118	855	6333
119	861	6315
120	866	6293
121	871	6269
122	876	6249
123	881	6228
124	889	6227
125	894	6203
126	899	6181
127	904	6162
128	910	6146
129	916	6135
130	922	6118
131	929	6111
132	934	6090
133	939	6071
134	944	6054
135	950	6038
136	956	6022
137	980	6126
138	986	6107
139	991	6090
140	997	6077
141	1002	6057
142	1008	6043
143	1013	6027
144	1019	6010
145	1025	5998
146	1030	5981
147	1036	5966
148	1041	5950
149	1046	5930
150	1051	5912
151	1056	5895
152	1062	5880
153	1066	5861
154	1071	5843
155	1077	5827
156	1082	5810
157	1087	5792
158	1091	5774
159	1096	5758
160	1103	5751
161	1108	5731
162	1113	5720
163	1118	5701
164	1123	5686
165	1128	5671
166	1134	5660
167	1139	5643
168	1145	5630
169	1150	5615
170	1157	5610
171	1162	5596
172	1167	5579
173	1173	5570
174	1182	5576
175	1191	5579
176	1198	5570
177	1208	5581
178	1213	5565
179	1218	5552
180	1224	5539
181	1230	5531
182	1236	5519
183	1244	5519
184	1249	5504
185	1254	5490
186	1261	5482
187	1267	5474
188	1273	5465
189	1278	5451
190	1284	5439
191	1292	5441
192	1298	5427
193	1303	5416
194	1318	5441
195	1323	5427
196	1329	5417
197	1335	5407
198	1340	5397
199	1350	5400
200	1355	5388
201	1360	5373
202	1365	5362
203	1371	5351
204	1377	5341
205	1382	5328
206	1390	5326
207	1395	5313
208	1400	5301
209	1406	5290
210	1411	5276
211	1416	5263
212	1421	5252
213	1427	5243
214	1432	5230
215	1437	5217
216	1442	5203
217	1447	5194
218	1453	5181
219	1458	5170
220	1463	5159
221	1469	5148
222	1474	5137
223	1479	5124
224	1484	5114
225	1490	5102
226	1494	5090
227	1509	5110
228	1513	5097
229	1520	5088
230	1525	5078
231	1530	5067
232	1536	5057
233	1542	5049
234	1548	5040
235	1553	5029
236	1558	5017
237	1564	5007
238	1570	5001
239	1576	4991
240	1581	4980
241	1586	4970
242	1592	4959
243	1597	4949
244	1607	4954
245	1626	4985
246	1631	4973
247	1636	4962
248	1641	4950
249	1647	4942
250	1652	4930
251	1657	4919
252	1662	4908
253	1667	4898
254	1673	4889
255	1683	4892
256	1689	4883
257	1694	4872
258	1699	4862
259	1704	4852
260	1709	4841
261	1715	4831
262	1720	4822
263	1725	4811
264	1731	4801
265	1736	4792
266	1742	4782
267	1747	4772
268	1752	4762
269	1757	4751
270	1762	4741
271	1767	4730
272	1772	4720
273	1777	4710
274	1784	4704
275	1789	4693
276	1798	4693
277	1809	4699
278	1815	4691
279	1821	4683
280	1826	4674
281	1832	4666
282	1838	4657
283	1843	4648
284	1848	4638
285	1854	4628
286	1859	4619
287	1864	4609
288	1869	4599
289	1875	4591
290	1880	4581
291	1885	4571
292	1890	4561
293	1896	4553
294	1904	4550
295	1909	4540
296	1917	4539
297	1923	4530
298	1928	4520
299	1934	4514
300	1940	4506
301	1945	4497
302	1951	4488
303	1957	4480
304	1962	4472
305	1968	4464
306	1974	4457
307	1980	4450
308	1986	4442
309	1991	4433
310	1997	4424
311	2002	4416
312	2007	4406
313	2013	4398
314	2021	4395
315	2026	4385
316	2031	4376
317	2036	4367
318	2041	4358
319	2047	4349
320	2051	4340
321	2057	4331
322	2062	4323
323	2067	4313
324	2073	4305
325	2079	4298
326	2084	4290
327	2090	4282
328	2094	4272
329	2100	4263
330	2105	4255
331	2110	4245
332	2115	4237
333	2121	4230
334	2126	4221
335	2136	4221
336	2144	4218
337	2149	4210
338	2156	4204
339	2162	4198
340	2169	4191
341	2174	4184
342	2179	4175
343	2190	4177
344	2195	4168
345	2205	4168
346	2210	4160
347	2215	4151
348	2222	4145
349	2232	4146
350	2240	4142
351	2246	4134
352	2251	4127
353	2258	4121
354	2263	4113
355	2269	4106
356	2275	4098
357	2281	4092
358	2290	4089
359	2295	4081
360	2323	4112
361	2330	4106
362	2335	4098
363	2341	4090
364	2347	4083
365	2352	4074
366	2357	4065
367	2363	4059
368	2373	4059
369	2379	4050
370	2393	4058
371	2399	4050
372	2404	4041
373	2408	4032
374	2413	4022
375	2418	4014
376	2424	4006
377	2435	4006
378	2439	3997
379	2444	3988
380	2449	3980
381	2454	3970
382	2460	3963
383	2466	3956
384	2471	3947
385	2476	3939
386	2482	3932
387	2491	3929
388	2495	3920
389	2501	3913
390	2507	3905
391	2512	3897
392	2519	3891
393	2525	3883
394	2534	3881
395	2539	3873
396	2545	3866
397	2553	3862
398	2560	3856
399	2565	3848
400	2574	3845
401	2579	3836
402	2584	3828
403	2591	3822
404	2596	3814
405	2602	3807
406	2607	3798
407	2613	3792
408	2619	3784
409	2625	3778
410	2631	3771
411	2636	3762
412	2640	3753
413	2646	3745
414	2653	3741
415	2660	3734
416	2665	3726
417	2671	3718
418	2676	3711
419	2681	3703
420	2686	3695
421	2692	3687
422	2698	3680
423	2702	3671
424	2708	3663
425	2713	3655
426	2718	3647
427	2723	3639
428	2729	3633
429	2735	3625
430	2740	3617
431	2745	3609
432	2751	3602
433	2755	3594
434	2761	3586
435	2766	3578
436	2771	3571
437	2781	3568
438	2786	3561
439	2791	3553
440	2797	3545
441	2803	3538
442	2807	3530
443	2813	3522
444	2822	3520
445	2827	3512
446	2832	3504
447	2838	3497
448	2843	3489
449	2851	3484
450	2856	3476
451	2861	3469
452	2866	3461
453	2871	3453
454	2876	3445
455	2882	3438
456	2887	3430
457	2893	3423
458	2898	3416
459	2903	3408
460	2915	3408
461	2920	3400
462	2925	3392
463	2930	3384
464	2934	3376
465	2939	3368
466	2945	3362
467	2954	3358
468	2959	3351
469	2965	3344
470	2970	3336
471	2976	3329
472	2982	3323
473	2988	3316
474	2993	3308
475	2999	3301
476	3005	3295
477	3015	3292
478	3022	3287
479	3027	3280
480	3034	3273
481	3039	3266
482	3044	3258
483	3049	3251
484	3054	3243
485	3061	3237
486	3068	3232
487	3073	3225
488	3080	3219
489	3085	3211
490	3090	3203
491	3095	3195
492	3100	3188
493	3105	3180
494	3109	3172
495	3117	3167
496	3122	3160
497	3128	3153
498	3134	3146
499	3139	3139
500	3143	3131
501	3148	3123
502	3157	3119
503	3163	3113
504	3168	3105
